Source: ACS 5-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin (HISP)","","","","","","","","","","","","","","","","","","","","","","","",""
"Age recode (AGEP_RC1)","Total","Not Spanish/Hispanic/Latino","Mexican","Puerto Rican","Cuban","Dominican","Costa Rican","Guatemalan","Honduran","Nicaraguan","Panamanian","Salvadoran","Other Central American","Argentinean","Bolivian","Chilean","Colombian","Ecuadorian","Paraguayan","Peruvian","Uruguayan","Venezuelan","Other South American","Spaniard","All Other Spanish/Hispanic/Latino"
"5 - 14","17638","104","16603","0","0","0","0","499","25","21","0","354","0","0","0","0","0","0","0","0","0","0","0","0","32"
"15 - 24","21083","133","19976","0","30","0","31","400","54","44","0","283","0","0","0","0","0","0","0","0","0","0","0","36","96"
"25 - 34","21275","267","19742","0","0","0","0","573","52","16","0","483","0","0","0","0","0","0","0","10","0","0","0","45","87"
"35 - 44","19323","91","18361","0","0","0","0","524","56","0","0","271","0","0","0","0","0","0","0","0","0","0","0","6","14"
"45 - 54","16760","220","15709","26","0","0","0","459","0","14","0","243","0","0","14","0","0","0","0","0","0","0","0","0","75"
"55 - 64","11895","140","11122","0","0","0","0","311","0","15","0","213","0","0","0","0","0","0","0","0","0","0","0","33","61"
"65 - 74","5743","241","5166","0","0","0","0","111","0","0","0","145","0","0","0","0","0","0","0","0","0","0","0","70","10"
"75 - 84","2542","95","2383","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","9","5"
"0 - 1","886","0","886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Navajo alone","9858","4679","4525","197","29","0","0","51","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","262","113"
"85+","105","44","52","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"1 - 4","156","17","139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","1386","546","761","0","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0"
"15 - 24","1148","596","466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86","0"
"25 - 34","1678","893","706","26","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","2"
"35 - 44","1593","814","700","56","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","19"
"45 - 54","1084","539","489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","22"
